family=taillard_benchmarks planned stream configs: 80, methods=['cpsat_cold', 'cpsat_warm', 'boot_cold', 'boot_warm'], sizes=[(0, 0)], budgets=[8], workers=[1], severities=['medium']
running 80 stream configs across 8 worker processes
  ta14_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta13_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta13_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta13_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta14_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta14_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta14_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta15_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta15_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta15_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta15_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta16_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta16_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta16_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta16_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta17_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta17_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta17_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta17_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta18_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta18_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta18_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta18_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta19_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta19_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta19_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta19_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta20_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta20_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta20_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta20_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done

wrote results/icaps/runs/taillard_benchmarks.csv (2240 rows) and results/icaps/runs/taillard_benchmarks_metadata.json
stream-runs: 320 executed, 0 skipped (resume), 0 rows with errors
